age,c_charge_degree,race,sex,priors_count,days_b_screening_arrest,two_year_recid
42,F,Caucasian,Female,0,-3.0,0
24,F,Other,Male,9,-1.0,1
27,F,African-American,Male,0,0.0,0
20,F,African-American,Male,0,-1.0,1
51,M,Caucasian,Female,0,0.0,0
56,M,Caucasian,Male,0,0.0,0
29,F,African-American,Male,7,-1.0,0
20,F,African-American,Male,0,-1.0,1
53,F,Caucasian,Male,6,-176.0,0
27,F,Caucasian,Male,8,-1.0,0
24,F,African-American,Male,2,-1.0,1
53,F,Caucasian,Male,36,-7.0,1
28,M,Caucasian,Male,2,0.0,1
21,F,Hispanic,Male,3,-22.0,0
36,F,African-American,Female,0,-1.0,0
25,M,Caucasian,Female,2,-2.0,1
23,M,Hispanic,Female,1,0.0,0
28,F,Caucasian,Male,1,-4.0,0
21,F,African-American,Female,0,-1.0,1
36,M,Caucasian,Male,0,-1.0,0
24,F,African-American,Male,0,-1.0,0
28,F,African-American,Male,3,206.0,1
30,F,Other,Male,1,-1.0,1
29,F,African-American,Male,0,-1.0,0
30,M,Caucasian,Female,0,0.0,0
51,M,Hispanic,Male,1,-1.0,0
33,F,Other,Male,3,-94.0,0
25,F,African-American,Female,2,-86.0,0
32,F,African-American,Male,12,-1.0,1
23,F,African-American,Male,1,0.0,0
47,F,African-American,Male,3,0.0,0
32,F,Hispanic,Female,1,-80.0,1
37,F,Caucasian,Male,0,-1.0,0
19,F,African-American,Male,2,-1.0,1
27,M,Hispanic,Male,0,-1.0,0
39,M,Other,Male,0,-1.0,0
21,F,Caucasian,Female,0,0.0,0
69,M,Caucasian,Male,0,-1.0,0
21,F,Caucasian,Male,2,-1.0,0
26,M,African-American,Male,6,0.0,1
22,F,Caucasian,Male,0,-2.0,0
23,F,African-American,Female,0,-1.0,1
49,F,African-American,Male,3,0.0,0
29,M,African-American,Male,2,-1.0,0
60,M,Caucasian,Female,0,-1.0,0
23,F,African-American,Male,3,0.0,1
34,M,Hispanic,Male,2,47.0,1
20,F,Other,Female,1,-21.0,0
36,F,Hispanic,Male,1,0.0,0
30,F,Caucasian,Male,0,0.0,0
21,F,African-American,Male,1,-1.0,0
22,M,Caucasian,Male,2,-1.0,1
21,F,African-American,Male,4,-1.0,1
21,F,African-American,Male,0,-1.0,1
34,M,Caucasian,Male,1,0.0,0
50,M,Caucasian,Female,1,-1.0,1
40,F,Caucasian,Male,0,-1.0,1
25,F,African-American,Male,7,-1.0,1
53,M,Caucasian,Female,1,-1.0,0
24,F,African-American,Female,0,-1.0,0
42,F,African-American,Male,1,-12.0,0
28,M,African-American,Male,1,-1.0,0
24,M,Caucasian,Male,1,-36.0,0
26,F,African-American,Male,6,-1.0,1
22,F,African-American,Male,4,-1.0,1
21,M,Caucasian,Male,3,-8.0,0
37,F,African-American,Male,23,-1.0,1
35,F,African-American,Male,2,-1.0,0
53,F,African-American,Male,2,-1.0,0
29,F,African-American,Male,7,-1.0,0
48,F,Caucasian,Male,23,-1.0,1
52,M,Caucasian,Female,0,0.0,0
27,F,African-American,Male,12,-1.0,1
28,F,African-American,Male,5,0.0,0
33,M,Caucasian,Male,3,0.0,0
28,F,Hispanic,Female,0,-1.0,0
47,F,Caucasian,Male,5,-312.0,1
36,F,African-American,Male,14,-1.0,1
29,F,African-American,Male,2,-1.0,0
22,M,African-American,Male,0,0.0,1
26,F,African-American,Male,6,-34.0,0
25,F,Caucasian,Male,0,0.0,0
68,F,Caucasian,Male,2,-150.0,0
56,F,African-American,Male,5,-1.0,0
27,F,African-American,Male,9,-1.0,1
52,F,Caucasian,Male,4,-1.0,1
32,F,African-American,Male,3,0.0,0
60,F,Other,Male,4,-1.0,0
23,M,Hispanic,Male,1,-5.0,0
39,M,Caucasian,Female,0,-2.0,0
56,M,Caucasian,Male,0,-1.0,0
22,F,African-American,Female,0,0.0,0
27,F,African-American,Female,1,-31.0,1
53,F,African-American,Male,11,-1.0,0
25,M,Caucasian,Male,0,0.0,1
21,M,Hispanic,Male,0,0.0,0
22,F,Caucasian,Male,0,-1.0,0
58,M,Caucasian,Female,2,-23.0,0
31,M,African-American,Male,7,0.0,1
22,F,Caucasian,Male,1,-1.0,1
28,F,African-American,Male,8,-1.0,1
42,F,Other,Male,1,-1.0,0
20,F,African-American,Male,0,0.0,1
29,M,Caucasian,Male,0,0.0,1
29,F,African-American,Male,8,178.0,0
58,M,African-American,Male,21,-1.0,1
22,F,African-American,Male,3,-1.0,0
48,M,Hispanic,Male,1,0.0,1
37,F,Caucasian,Male,0,0.0,0
57,F,African-American,Male,1,-1.0,1
27,M,Caucasian,Male,3,-22.0,0
26,F,African-American,Male,3,0.0,0
24,F,Caucasian,Male,3,0.0,1
33,F,Caucasian,Male,0,-1.0,0
29,F,African-American,Male,2,-1.0,0
24,F,African-American,Female,3,-1.0,1
19,F,Caucasian,Male,1,-1.0,1
36,M,Caucasian,Male,2,-1.0,0
24,F,Caucasian,Female,0,0.0,0
34,M,Caucasian,Male,0,0.0,0
25,F,Hispanic,Male,2,-1.0,1
20,F,African-American,Male,1,-1.0,1
28,M,Hispanic,Male,2,-263.0,1
24,M,African-American,Male,1,-1.0,1
61,F,Caucasian,Male,4,-1.0,0
50,F,African-American,Female,3,0.0,0
30,M,African-American,Male,1,0.0,0
38,F,African-American,Male,5,-1.0,0
24,M,Caucasian,Male,0,-1.0,0
45,F,African-American,Male,16,-83.0,0
46,F,African-American,Female,2,-1.0,1
41,M,Caucasian,Male,0,-1.0,1
20,F,Other,Male,0,-1.0,1
27,M,African-American,Male,13,-1.0,1
51,F,African-American,Female,16,-122.0,0
26,M,African-American,Male,1,-1.0,1
29,F,African-American,Male,3,0.0,1
52,F,Caucasian,Male,6,-1.0,1
28,F,Caucasian,Male,1,0.0,1
34,F,Native American,Female,4,-152.0,1
55,F,African-American,Male,5,-1.0,1
26,F,African-American,Male,10,-1.0,1
28,F,African-American,Male,5,-1.0,0
63,F,Caucasian,Male,2,-3.0,0
42,F,African-American,Male,0,0.0,0
23,F,African-American,Male,6,-1.0,0
54,F,African-American,Male,28,-1.0,1
35,F,African-American,Male,8,-1.0,1
24,F,African-American,Female,6,-1.0,1
54,M,African-American,Male,2,-26.0,0
58,M,African-American,Male,12,-1.0,1
23,M,Caucasian,Male,1,0.0,1
35,M,African-American,Male,1,-1.0,0
20,F,African-American,Male,1,0.0,1
51,F,Caucasian,Male,0,0.0,0
24,F,Hispanic,Male,0,0.0,0
37,F,Caucasian,Male,3,-14.0,0
47,F,Caucasian,Male,3,-1.0,0
34,F,Caucasian,Male,4,-1.0,1
56,F,Caucasian,Male,0,-2.0,0
34,F,Hispanic,Male,4,-1.0,1
59,F,Caucasian,Male,1,-2.0,1
35,F,Asian,Male,0,-1.0,0
58,F,Hispanic,Male,1,-11.0,0
29,M,Hispanic,Male,2,-26.0,0
24,F,Caucasian,Female,6,0.0,1
21,M,Caucasian,Male,2,-1.0,1
50,F,Asian,Male,5,0.0,1
26,F,African-American,Male,1,-1.0,0
30,M,Caucasian,Female,0,-1.0,0
29,F,Caucasian,Male,6,-43.0,1
29,M,Caucasian,Male,0,0.0,1
54,M,African-American,Male,0,-1.0,0
29,F,African-American,Male,4,-1.0,1
59,M,Caucasian,Female,0,-2.0,0
38,F,African-American,Male,0,0.0,0
22,F,Hispanic,Female,2,49.0,1
29,F,African-American,Male,4,-53.0,1
27,M,Caucasian,Male,1,-1.0,1
26,F,Hispanic,Male,7,-1.0,1
52,F,Hispanic,Male,20,-1.0,0
66,F,African-American,Male,33,0.0,1
27,F,Caucasian,Male,2,0.0,0
51,M,Caucasian,Male,1,-1.0,0
35,F,Caucasian,Male,1,0.0,0
52,M,Caucasian,Male,4,-1.0,0
35,M,African-American,Female,12,-54.0,0
48,F,Other,Male,12,0.0,0
26,M,African-American,Female,0,-1.0,0
48,M,Caucasian,Female,0,0.0,0
30,M,Hispanic,Male,7,-1.0,0
28,M,Other,Male,2,-1.0,0
33,M,African-American,Male,2,0.0,0
34,F,African-American,Female,6,-1.0,0
25,M,Other,Male,0,0.0,0
59,F,African-American,Male,10,-1.0,1
29,F,African-American,Male,5,-1.0,1
24,F,Caucasian,Male,0,0.0,0
48,F,Caucasian,Male,1,-1.0,1
55,M,African-American,Male,0,61.0,1
52,M,African-American,Male,4,0.0,0
20,F,African-American,Male,0,0.0,1
25,F,Caucasian,Male,4,-5.0,1
24,F,Caucasian,Male,0,-1.0,0
23,M,Caucasian,Male,0,-1.0,0
27,F,Caucasian,Male,6,-1.0,0
25,M,African-American,Male,1,-1.0,1
31,F,African-American,Male,0,-1.0,0
25,F,African-American,Male,6,-1.0,1
32,F,Caucasian,Male,1,-7.0,1
21,F,Caucasian,Male,0,-1.0,1
37,F,Other,Male,1,-1.0,0
25,F,Caucasian,Male,0,0.0,0
32,F,Hispanic,Male,20,0.0,0
35,F,African-American,Male,0,-1.0,0
42,F,African-American,Male,14,-1.0,1
24,M,Caucasian,Male,9,-23.0,1
22,F,Caucasian,Male,6,168.0,1
21,F,Hispanic,Male,0,-1.0,1
47,M,Caucasian,Male,1,0.0,0
27,F,African-American,Male,5,-1.0,1
43,M,Hispanic,Male,2,-12.0,1
46,F,Caucasian,Male,2,-1.0,1
44,M,African-American,Male,1,0.0,0
23,F,Caucasian,Male,2,-1.0,0
42,F,African-American,Male,8,-1.0,0
58,F,African-American,Male,6,-1.0,0
26,F,African-American,Male,3,-1.0,0
48,F,Other,Female,0,-1.0,0
39,F,African-American,Male,3,-1.0,1
21,F,African-American,Male,3,0.0,1
63,M,Caucasian,Male,1,-9.0,0
22,F,African-American,Male,3,-11.0,1
50,M,African-American,Male,3,-1.0,0
38,F,African-American,Male,0,-1.0,0
41,F,Caucasian,Male,1,-6.0,0
28,F,African-American,Male,16,-1.0,1
30,M,African-American,Female,0,0.0,0
23,F,African-American,Male,1,0.0,0
25,F,Caucasian,Male,2,-13.0,1
40,F,Caucasian,Male,5,0.0,0
24,F,Hispanic,Male,8,0.0,0
27,M,African-American,Male,5,0.0,1
44,M,Caucasian,Male,11,0.0,0
35,F,African-American,Female,6,-1.0,1
42,M,Caucasian,Male,0,0.0,0
38,F,African-American,Male,15,0.0,0
26,F,Hispanic,Male,4,0.0,0
25,M,African-American,Female,0,-1.0,0
64,F,Hispanic,Male,1,-8.0,0
49,M,Caucasian,Female,2,0.0,1
50,F,Caucasian,Male,5,-1.0,1
28,F,Caucasian,Male,8,162.0,1
66,M,Caucasian,Male,0,0.0,1
46,M,Caucasian,Female,0,-1.0,0
30,F,African-American,Male,5,-1.0,1
22,M,Caucasian,Female,0,0.0,0
23,M,Caucasian,Male,1,-1.0,0
30,M,Other,Male,0,-1.0,1
24,F,African-American,Male,10,75.0,1
31,M,Hispanic,Male,0,-1.0,0
31,F,Other,Male,1,-1.0,0
21,F,African-American,Male,4,622.0,1
28,F,African-American,Male,4,747.0,0
25,M,African-American,Male,0,-1.0,0
21,F,Caucasian,Female,0,-1.0,0
27,M,African-American,Male,0,-1.0,0
20,M,Hispanic,Male,0,-1.0,1
32,F,Hispanic,Male,1,-27.0,0
24,F,Caucasian,Female,0,0.0,0
20,F,African-American,Male,1,-1.0,0
31,M,African-American,Male,3,-20.0,1
27,M,African-American,Male,3,-1.0,1
59,F,African-American,Male,17,-65.0,1
40,F,African-American,Male,0,-1.0,0
22,F,African-American,Male,11,0.0,1
38,F,African-American,Female,1,-1.0,0
36,M,Hispanic,Male,1,-8.0,1
30,M,African-American,Male,1,0.0,0
27,F,Caucasian,Male,6,-1.0,1
59,M,Caucasian,Female,0,0.0,0
37,M,Caucasian,Male,2,-2.0,0
28,M,African-American,Male,5,0.0,1
38,F,Caucasian,Male,0,0.0,0
22,F,African-American,Male,0,-1.0,1
43,M,Hispanic,Male,1,-44.0,0
25,F,African-American,Male,4,-1.0,1
51,M,Caucasian,Male,0,0.0,0
29,M,Caucasian,Male,2,29.0,1
28,F,African-American,Male,10,0.0,0
55,M,African-American,Male,9,0.0,1
23,F,Caucasian,Female,3,-1.0,0
22,M,African-American,Female,0,-1.0,0
19,F,Caucasian,Female,2,-2.0,1
31,M,African-American,Male,1,-27.0,0
29,M,African-American,Male,0,0.0,0
61,F,African-American,Male,15,-1.0,1
24,F,African-American,Male,4,-175.0,1
31,M,Hispanic,Male,0,0.0,0
20,F,African-American,Male,4,-1.0,1
26,F,Caucasian,Male,3,-1.0,1
27,M,Caucasian,Male,5,0.0,0
25,F,Caucasian,Male,1,-1.0,0
23,F,Caucasian,Male,3,-1.0,1
38,F,African-American,Male,0,-1.0,0
27,F,African-American,Male,18,0.0,1
35,F,Caucasian,Female,0,0.0,1
22,F,Other,Male,0,-1.0,0
58,F,African-American,Female,4,-14.0,1
57,M,Caucasian,Female,0,-1.0,1
21,F,African-American,Male,0,-1.0,0
22,F,African-American,Female,0,-1.0,0
30,F,African-American,Male,0,-1.0,0
24,F,Caucasian,Male,1,-38.0,1
22,F,Caucasian,Male,2,-40.0,1
29,F,Caucasian,Male,3,-61.0,1
30,F,African-American,Male,8,-1.0,1
31,F,African-American,Female,10,-1.0,0
45,F,Caucasian,Female,1,0.0,0
23,F,African-American,Male,4,320.0,0
39,F,Caucasian,Male,2,-13.0,1
31,F,African-American,Male,0,-1.0,1
22,F,African-American,Male,1,-1.0,1
27,F,African-American,Female,9,-68.0,1
27,F,African-American,Male,13,-1.0,1
38,F,Caucasian,Male,1,-1.0,1
31,F,African-American,Male,23,0.0,1
47,F,African-American,Male,20,-1.0,0
22,F,African-American,Male,3,-1.0,0
35,M,African-American,Male,1,-1.0,1
23,M,Hispanic,Male,2,-19.0,1
65,M,African-American,Male,2,-18.0,1
35,M,African-American,Male,0,-1.0,0
33,F,African-American,Female,0,-1.0,0
53,M,Caucasian,Male,1,-10.0,0
52,F,Hispanic,Male,0,-1.0,0
21,F,African-American,Male,0,-1.0,0
37,F,African-American,Male,11,-1.0,0
30,M,Other,Male,4,-1.0,1
33,F,Caucasian,Male,5,-32.0,0
54,F,Other,Male,0,0.0,0
31,M,African-American,Female,0,0.0,0
59,F,Caucasian,Female,2,26.0,0
27,M,African-American,Male,0,-1.0,0
36,M,African-American,Male,0,-1.0,1
46,F,African-American,Male,17,-1.0,1
22,F,African-American,Male,3,0.0,0
28,M,Caucasian,Female,0,-1.0,0
34,F,Caucasian,Female,15,-4.0,1
29,F,Hispanic,Male,7,-2.0,1
23,M,African-American,Male,2,0.0,1
27,F,African-American,Male,3,-1.0,0
21,F,Asian,Male,0,-1.0,1
48,F,Caucasian,Male,3,-3.0,1
30,F,African-American,Male,15,210.0,1
32,F,African-American,Female,2,-43.0,0
31,F,African-American,Male,5,-1.0,0
36,M,African-American,Male,4,-1.0,0
44,F,African-American,Male,14,-1.0,1
53,F,Caucasian,Male,2,-2.0,0
33,M,African-American,Male,3,-1.0,1
21,F,African-American,Male,2,-306.0,0
33,F,African-American,Male,4,236.0,1
47,F,Caucasian,Male,2,0.0,1
57,F,African-American,Male,20,0.0,1
28,M,African-American,Male,2,-1.0,0
24,M,African-American,Male,1,-1.0,0
44,F,African-American,Male,1,-1.0,0
46,F,African-American,Male,0,-1.0,0
37,F,African-American,Male,6,0.0,0
26,M,African-American,Male,10,-6.0,1
